scenario,block,seed,contrib_total_commissioned_MW,contrib_cum_MW_by_2050,contrib_attrition_project_rate,contrib_delay_mean_years,full_delta_cum_MW_by_2050
S1_REAL_WORLD_2026_FRAGMENTED,attrition,42.0,-20588.31184500002,-13756.074075000011,0.14634146341463414,-0.6206483866080899,-7751.23986793802
S1_REAL_WORLD_2026_FRAGMENTED,capital_combo,42.0,0.0,-1350.0507950000028,0.0,0.4945210321668396,-7751.23986793802
S1_REAL_WORLD_2026_FRAGMENTED,def_multiplier,42.0,-1.4551915228366852e-11,-610.7515100000164,0.0,0.5201484623541481,-7751.23986793802
S1_REAL_WORLD_2026_FRAGMENTED,distributions,42.0,0.0,1104.1371999999974,0.0,0.1993637327677602,-7751.23986793802
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue,42.0,4783.742539999977,15211.255843637424,0.0,-0.8529873266271315,-7751.23986793802
S1_REAL_WORLD_2026_FRAGMENTED,tx_split,42.0,0.0,0.0,0.0,0.010604453870625363,-7751.23986793802
S2_IRA_INCENTIVE_RUSH,attrition,42.0,-35931.615305000014,-24822.328745000006,0.25026511134676566,-1.2344851740135385,-13963.430410746994
S2_IRA_INCENTIVE_RUSH,capital_combo,42.0,0.0,4196.449739999996,0.0,-0.18275008837045226,-13963.430410746994
S2_IRA_INCENTIVE_RUSH,def_multiplier,42.0,0.0,6523.6201500000025,0.0,-0.08907741251325296,-13963.430410746994
S2_IRA_INCENTIVE_RUSH,distributions,42.0,1.4551915228366852e-11,1504.1371999999974,0.0,0.21182396606574416,-13963.430410746994
S2_IRA_INCENTIVE_RUSH,initial_queue,42.0,4783.742539999977,15211.255843637424,0.0,-0.8529873266271315,-13963.430410746994
S2_IRA_INCENTIVE_RUSH,tx_split,42.0,-1.4551915228366852e-11,999.9999999999854,0.0,-0.21474019088016982,-13963.430410746994
S3_CHINA_COORDINATED,attrition,42.0,-8347.28456,-5357.36275,0.05938494167550371,-0.33590534179936204,7414.361112049592
S3_CHINA_COORDINATED,capital_combo,42.0,-1.4551915228366852e-11,3030.4837199999893,0.0,-0.2948921880523172,7414.361112049592
S3_CHINA_COORDINATED,def_multiplier,42.0,-1.4551915228366852e-11,830.4837199999893,0.0,-0.08032873806999108,7414.361112049592
S3_CHINA_COORDINATED,distributions,42.0,0.0,0.0,0.0,0.0,7414.361112049592
S3_CHINA_COORDINATED,initial_queue,42.0,3720.0,4437.351649999997,0.0,-0.17740572222599527,7414.361112049592
S3_CHINA_COORDINATED,tx_split,42.0,-1.4551915228366852e-11,999.9999999999854,0.0,-0.21474019088016982,7414.361112049592
