scenario,seed,notes,makespan_months,makespan_calendar_year,total_commissioned_MW,cum_MW_by_2035,cum_MW_by_2040,cum_MW_by_2050,delay_mean_years,delay_p90_years,delay_n_projects,attrited_projects,attrited_transmission_projects,attrition_project_rate,solar_projects_n,solar_has_tx_dep_share,solar_has_gas_dep_share,solar_has_battery_joint_share,solar_bind_construction_tx_share,solar_bind_construction_gas_share,solar_bind_construction_intra_share,solar_bind_construction_other_share,solar_bind_commissioning_joint_share,solar_bind_commissioning_intra_share,solar_bind_commissioning_other_share,solar_delay_MW_total,solar_delay_MW_delayed_total,solar_delay_MW_weighted_mean_years_delayed,solar_delay_share_delayed_MW__cons_TX,solar_delay_MW_weighted_mean_years_delayed__cons_TX,solar_delay_share_delayed_MW__cons_Gas,solar_delay_MW_weighted_mean_years_delayed__cons_Gas,solar_delay_share_delayed_MW__cons_Intra,solar_delay_MW_weighted_mean_years_delayed__cons_Intra,solar_delay_share_delayed_MW__cons_Other,solar_delay_MW_weighted_mean_years_delayed__cons_Other,solar_delay_share_delayed_MW__comm_Battery,solar_delay_MW_weighted_mean_years_delayed__comm_Battery,solar_delay_share_delayed_MW__comm_Intra,solar_delay_MW_weighted_mean_years_delayed__comm_Intra,solar_delay_share_delayed_MW__comm_Other,solar_delay_MW_weighted_mean_years_delayed__comm_Other,solar_projects_total,solar_total_MW,solar_has_tx_dep_projects,solar_has_tx_dep_MW,solar_has_gas_dep_projects,solar_has_gas_dep_MW,solar_has_battery_joint_projects,solar_has_battery_joint_MW,solar_killed_projects,solar_killed_MW,solar_has_tx_dep_share_projects,solar_has_gas_dep_share_projects,solar_has_battery_joint_share_projects,solar_survival_share_projects,solar_has_tx_dep_share_MW,solar_has_gas_dep_share_MW,solar_has_battery_joint_share_MW,solar_survival_share_MW,kill_tx_no_tx_in_zone_killed_projects,kill_tx_no_tx_in_zone_killed_MW,kill_tx_insufficient_killed_projects,kill_tx_insufficient_killed_MW,kill_gas_no_gas_in_zone_killed_projects,kill_gas_no_gas_in_zone_killed_MW,kill_gas_insufficient_killed_projects,kill_gas_insufficient_killed_MW,kill_battery_no_battery_in_zone_killed_projects,kill_battery_no_battery_in_zone_killed_MW,kill_battery_insufficient_killed_projects,kill_battery_insufficient_killed_MW,delay_mean_years_pre_attrition,delay_p90_years_pre_attrition,delay_n_projects_pre_attrition,pre_delay_mean_years__Solar,pre_delay_p90_years__Solar,pre_delay_n_projects__Solar,pre_delay_mean_years__Transmission,pre_delay_p90_years__Transmission,pre_delay_n_projects__Transmission,pre_delay_mean_years__Gas Turbine,pre_delay_p90_years__Gas Turbine,pre_delay_n_projects__Gas Turbine,pre_delay_mean_years__Battery,pre_delay_p90_years__Battery,pre_delay_n_projects__Battery,post_delay_mean_years__Solar,post_delay_p90_years__Solar,post_delay_n_projects__Solar,post_delay_mean_years__Transmission,post_delay_p90_years__Transmission,post_delay_n_projects__Transmission,post_delay_mean_years__Gas Turbine,post_delay_p90_years__Gas Turbine,post_delay_n_projects__Gas Turbine,post_delay_mean_years__Battery,post_delay_p90_years__Battery,post_delay_n_projects__Battery
Base-level Sequencing,42,"Baseline (no distributions, no attrition, no initial queue)",378.0,2061.5,116861.71989000001,13897.430780000002,25768.37663,70368.4931,2.37592788971368,10.0,943.0,0.0,0.0,0.0,265.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,0.2037735849056604,0.33962264150943394,0.45660377358490567,0.0,0.8754716981132076,0.12452830188679245,0.0,50203.16443999998,41041.722819999995,9.072127925598618,0.23615968151504615,13.976230191646676,0.42342532418087225,6.899919389598755,0.34041499430408173,8.371855817402386,0.0,0.0,0.9853807306620274,9.184469251302783,0.01461926933797269,1.5,0.0,0.0,265.0,50203.16443999998,86.0,15363.276349999998,150.0,28359.818240000004,232.0,43915.34122999999,0.0,0.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,1.0,0.3060220709465701,0.5649010088576005,0.8747524527559445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37592788971368,10.0,943.0,7.522641509433963,14.5,265.0,4.878787878787879,13.0,33.0,0.16233766233766234,0.0,77.0,0.12940140845070422,0.0,568.0,7.522641509433963,14.5,265.0,4.878787878787879,13.0,33.0,0.16233766233766234,0.0,77.0,0.12940140845070422,0.0,568.0
PERFECT_COORDINATION,42,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)",360.0,2060.0,116861.71989,24564.4753,47176.63089,87621.12193,0.30699893955461294,0.0,943.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,50203.16443999998,3250.31894,2.5,0.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,265.0,50203.16443999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30699893955461294,0.0,943.0,0.16037735849056603,0.0,265.0,4.878787878787879,13.0,33.0,0.16233766233766234,0.0,77.0,0.12940140845070422,0.0,568.0,0.16037735849056603,0.0,265.0,4.878787878787879,13.0,33.0,0.16233766233766234,0.0,77.0,0.12940140845070422,0.0,568.0
S1_REAL_WORLD_2026_FRAGMENTED,42,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)",386.0,2062.1666666666665,82399.5377762925,24826.72873748068,35681.493412267286,62617.25323206199,1.0649197355996212,2.5833333333332575,706.0,194.0,6.0,0.20229405630865485,120.0,0.9,0.7166666666666667,0.9,0.1,0.20833333333333334,0.6916666666666667,0.0,0.9,0.1,0.0,21828.09342600691,20232.63310109392,4.91194305673322,0.1175387920771826,4.708165351219393,0.23888800380964792,4.070114942528729,0.6435732041131694,5.26163819890687,0.0,0.0,1.0,4.91194305673322,0.0,0.0,0.0,0.0,273.0,50203.16443999998,261.0,48803.164439999986,202.0,37503.06337235167,187.0,35030.93646813065,74.0,13772.227971869357,0.9560439560439561,0.73992673992674,0.684981684981685,0.7289377289377289,0.9721133116683671,0.7470258855330373,0.6977834337514255,0.7256701220830579,0.0,0.0,0.0,0.0,0.0,0.0,59.0,11300.101067648333,0.0,0.0,15.0,2472.126904221025,1.4858757062146883,5.583333333333485,885.0,5.014656616415415,10.416666666666515,199.0,0.8611111111111237,3.7666666666666746,30.0,0.8276515151515195,1.6666666666667425,88.0,0.38453638497652115,0.9416666666667207,568.0,4.268055555555567,10.34166666666679,120.0,0.5555555555555619,2.6833333333333016,24.0,0.7773809523809535,1.6750000000000684,70.0,0.3494241192411875,0.8333333333334849,492.0
S1_REAL_WORLD_2026_FRAGMENTED__OAT_attrition,42,OAT: S1_REAL_WORLD_2026_FRAGMENTED — attrition only,378.0,2061.5,96273.40804499999,11114.828590000001,22385.77444,56612.419024999996,1.75527950310559,6.5,805.0,138.0,9.0,0.14634146341463414,189.0,0.24867724867724866,0.43386243386243384,0.8306878306878307,0.14814814814814814,0.2751322751322751,0.5767195767195767,0.0,0.8306878306878307,0.1693121693121693,0.0,36122.84465,27161.40303,8.76683964362941,0.19292523012203175,12.983726169221473,0.37100643950055917,6.693752213983802,0.436068330377409,8.66498630045331,0.0,0.0,0.9779098303818365,8.930991506437753,0.0220901696181635,1.5,0.0,0.0,265.0,50203.16443999998,86.0,15363.276349999998,150.0,28359.818240000004,232.0,43915.34122999999,0.0,0.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,1.0,0.3060220709465701,0.5649010088576005,0.8747524527559445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37592788971368,10.0,943.0,7.522641509433963,14.5,265.0,4.878787878787879,13.0,33.0,0.16233766233766234,0.0,77.0,0.12940140845070422,0.0,568.0,6.597883597883598,11.5,189.0,4.583333333333333,13.0,24.0,0.07142857142857142,0.0,70.0,0.09770114942528736,0.0,522.0
S1_REAL_WORLD_2026_FRAGMENTED__OAT_capital_combo,42,OAT: S1_REAL_WORLD_2026_FRAGMENTED — capital discipline combo (def mult + dists + TX split),428.0,2065.6666666666665,116861.71989000001,12745.36686,25273.237684999996,69018.442305,2.8704489218805196,10.333333333333439,943.0,0.0,0.0,0.0,265.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,0.17735849056603772,0.3660377358490566,0.45660377358490567,0.0,0.8754716981132076,0.12452830188679245,0.0,50203.16443999998,48932.83986999998,8.402360051395068,0.17120943567259186,15.950547203094763,0.3820080978267572,7.915535969511216,0.44678246650065123,5.926098774263464,0.0,0.0,0.8974615278138364,9.247119275353663,0.1025384721861638,1.0086580817355744,0.0,0.0,265.0,50203.16443999998,86.0,15363.276349999998,150.0,28359.818240000004,232.0,43915.34122999999,0.0,0.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,1.0,0.3060220709465701,0.5649010088576005,0.8747524527559445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8704489218805196,10.333333333333439,943.0,8.34591194968553,12.883333333333349,265.0,5.424242424242431,15.350000000000048,33.0,0.9080086580086649,1.6666666666667425,77.0,0.4335387323943614,1.0,568.0,8.34591194968553,12.883333333333349,265.0,5.424242424242431,15.350000000000048,33.0,0.9080086580086649,1.6666666666667425,77.0,0.4335387323943614,1.0,568.0
S1_REAL_WORLD_2026_FRAGMENTED__OAT_def_multiplier,42,OAT: S1_REAL_WORLD_2026_FRAGMENTED — definition multiplier only (1.9x),399.0,2063.25,116861.71989,13897.430780000002,25768.37663,69757.74158999999,2.896076352067828,10.416666666666515,943.0,0.0,0.0,0.0,265.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,0.2037735849056604,0.33962264150943394,0.45660377358490567,0.0,0.8754716981132076,0.12452830188679245,0.0,50203.16443999998,50203.16443999998,8.112152381285195,0.19306353091713604,14.829242255696279,0.34615556576656326,7.659285883690048,0.46078090331630117,5.637955161425233,0.0,0.0,0.8747524527559445,9.1213197043624,0.1252475472440558,1.0639377812597346,0.0,0.0,265.0,50203.16443999998,86.0,15363.276349999998,150.0,28359.818240000004,232.0,43915.34122999999,0.0,0.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,1.0,0.3060220709465701,0.5649010088576005,0.8747524527559445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.896076352067828,10.416666666666515,943.0,8.225471698113193,14.5,265.0,5.7272727272727275,13.0,33.0,0.9415584415584534,0.8333333333334849,77.0,0.5101232394365585,0.41666666666674246,568.0,8.225471698113193,14.5,265.0,5.7272727272727275,13.0,33.0,0.9415584415584534,0.8333333333334849,77.0,0.5101232394365585,0.41666666666674246,568.0
S1_REAL_WORLD_2026_FRAGMENTED__OAT_distributions,42,OAT: S1_REAL_WORLD_2026_FRAGMENTED — distributions only,425.0,2065.4166666666665,116861.71989000001,13697.430779999999,26950.58509,71472.6303,2.57529162248144,10.0,943.0,0.0,0.0,0.0,265.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,0.19245283018867926,0.3471698113207547,0.46037735849056605,0.0,0.8754716981132076,0.12452830188679245,0.0,50203.16443999998,46332.839869999996,8.3563379768466,0.19808334489642412,15.026908126553542,0.3818617880890106,7.055277445878939,0.4200548670145653,6.393490711886188,0.0,0.0,0.9391900291908438,8.847766108336685,0.060809970809156025,0.7663918706748001,0.0,0.0,265.0,50203.16443999998,86.0,15363.276349999998,150.0,28359.818240000004,232.0,43915.34122999999,0.0,0.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,1.0,0.3060220709465701,0.5649010088576005,0.8747524527559445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57529162248144,10.0,943.0,7.834905660377352,12.333333333333258,265.0,5.042929292929295,15.350000000000048,33.0,0.4935064935064846,1.0833333333333486,77.0,0.26026995305164424,0.75,568.0,7.834905660377352,12.333333333333258,265.0,5.042929292929295,15.350000000000048,33.0,0.4935064935064846,1.0833333333333486,77.0,0.26026995305164424,0.75,568.0
S1_REAL_WORLD_2026_FRAGMENTED__OAT_initial_queue,42,OAT: S1_REAL_WORLD_2026_FRAGMENTED — initial queue only (subtractive),378.0,2061.5,121645.46242999999,31976.609791859304,47157.37809859517,85579.74894363743,1.5229405630865485,6.5,959.0,0.0,0.0,0.0,273.0,0.6886446886446886,0.5714285714285714,0.8681318681318682,0.09523809523809523,0.45054945054945056,0.4542124542124542,0.0,0.8681318681318682,0.13186813186813187,0.0,50203.16443999999,39476.24302912608,6.553171120006329,0.12392865152502182,6.4307918461576365,0.5805906874071796,6.236990393353493,0.2954806610677986,7.225762967800223,0.0,0.0,1.0,6.553171120006329,0.0,0.0,0.0,0.0,273.0,50203.16443999998,188.0,34387.81037879114,156.0,29082.21532407076,237.0,44531.037535778974,0.0,0.0,0.6886446886446886,0.5714285714285714,0.8681318681318682,1.0,0.6849729646004592,0.5792904819541446,0.8870165463175133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5229405630865485,6.5,959.0,5.029304029304029,10.0,273.0,0.0,0.0,30.0,0.21022727272727273,0.5,88.0,0.12147887323943662,0.0,568.0,5.029304029304029,10.0,273.0,0.0,0.0,30.0,0.21022727272727273,0.5,88.0,0.12147887323943662,0.0,568.0
S1_REAL_WORLD_2026_FRAGMENTED__OAT_tx_split,42,OAT: S1_REAL_WORLD_2026_FRAGMENTED — transmission split only,378.0,2061.5,116861.71989000001,13897.430780000002,25768.37663,70368.4931,2.3865323435843053,10.0,943.0,0.0,0.0,0.0,265.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,0.2037735849056604,0.33962264150943394,0.45660377358490567,0.0,0.8754716981132076,0.12452830188679245,0.0,50203.16443999998,41041.722819999995,9.079555420817007,0.23615968151504615,14.007681348638162,0.42342532418087225,6.899919389598755,0.34041499430408173,8.371855817402386,0.0,0.0,0.9853807306620274,9.192006942052426,0.01461926933797269,1.5,0.0,0.0,265.0,50203.16443999998,86.0,15363.276349999998,150.0,28359.818240000004,232.0,43915.34122999999,0.0,0.0,0.32452830188679244,0.5660377358490566,0.8754716981132076,1.0,0.3060220709465701,0.5649010088576005,0.8747524527559445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3865323435843053,10.0,943.0,7.560377358490566,14.5,265.0,4.878787878787879,13.0,33.0,0.16233766233766234,0.0,77.0,0.12940140845070422,0.0,568.0,7.560377358490566,14.5,265.0,4.878787878787879,13.0,33.0,0.16233766233766234,0.0,77.0,0.12940140845070422,0.0,568.0
S2_IRA_INCENTIVE_RUSH,42,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)",379.0,2061.5833333333335,75387.62164244818,21889.177402984933,33372.85728232211,56405.06268925301,0.6382604323780768,1.3333333333332575,663.0,235.0,8.0,0.24504692387904067,97.0,0.8762886597938144,0.5360824742268041,0.8762886597938144,0.010309278350515464,0.10309278350515463,0.8865979381443299,0.0,0.8762886597938144,0.12371134020618557,0.0,17249.97417076351,14734.596022352622,4.52633361347209,0.013573497345743089,0.6666666666667425,0.12442372566931165,2.0212121212121392,0.8620027769849451,4.9487054875542595,0.0,0.0,1.0,4.52633361347209,0.0,0.0,0.0,0.0,273.0,50203.16443999998,261.0,48803.164439999986,202.0,37503.06337235167,187.0,35030.93646813065,74.0,13772.227971869357,0.9560439560439561,0.73992673992674,0.684981684981685,0.7289377289377289,0.9721133116683671,0.7470258855330373,0.6977834337514255,0.7256701220830579,0.0,0.0,0.0,0.0,0.0,0.0,59.0,11300.101067648333,0.0,0.0,15.0,2472.126904221025,1.11478342749529,4.916666666666652,885.0,4.177135678391963,10.0,199.0,0.8666666666666742,3.841666666666606,30.0,0.3409090909090857,0.6916666666667195,88.0,0.17488262910797747,0.5,568.0,3.564432989690722,10.033333333333394,97.0,0.37878787878787534,1.0500000000000707,22.0,0.20652173913043148,0.5833333333332575,69.0,0.11543859649122504,0.3333333333334849,475.0
