scenario,seed,TECH,total_commissioned_MW,cum_commissioned_MW_by_2050
Base-level Sequencing,42,Battery,55088.25643,35571.44078
Base-level Sequencing,42,Gas Turbine,6854.04156,6832.19449
Base-level Sequencing,42,Joint,0.0,0.0
Base-level Sequencing,42,Solar,50203.16444,24344.329
Base-level Sequencing,42,Transmission,4716.25746,3620.52883
PERFECT_COORDINATION,42,Battery,55088.25643,35571.44078
PERFECT_COORDINATION,42,Gas Turbine,6854.04156,6832.19449
PERFECT_COORDINATION,42,Solar,50203.16444,41596.95783
PERFECT_COORDINATION,42,Transmission,4716.25746,3620.52883
S1_REAL_WORLD_2026_FRAGMENTED,42,Battery,47619.58368655617,32866.40158239935
S1_REAL_WORLD_2026_FRAGMENTED,42,Gas Turbine,5451.860663729419,4733.159915549813
S1_REAL_WORLD_2026_FRAGMENTED,42,Joint,0.0,0.0
S1_REAL_WORLD_2026_FRAGMENTED,42,Solar,21828.093426006908,17517.69173411282
S1_REAL_WORLD_2026_FRAGMENTED,42,Transmission,7500.0,7500.0
S2_IRA_INCENTIVE_RUSH,42,Battery,46098.266650808706,31245.08454665188
S2_IRA_INCENTIVE_RUSH,42,Gas Turbine,5289.380820875972,5270.405663731721
S2_IRA_INCENTIVE_RUSH,42,Joint,0.0,0.0
S2_IRA_INCENTIVE_RUSH,42,Solar,17249.974170763508,13139.57247886942
S2_IRA_INCENTIVE_RUSH,42,Transmission,6750.0,6750.0
S3_CHINA_COORDINATED,42,Battery,53188.25643,34071.44078
S3_CHINA_COORDINATED,42,Gas Turbine,8878.952361666667,8857.105291666667
S3_CHINA_COORDINATED,42,Joint,0.0,0.0
S3_CHINA_COORDINATED,42,Solar,31067.55269,27881.57788
S3_CHINA_COORDINATED,42,Transmission,8068.45889038294,6972.73026038294
