seed,scenario_a,scenario_b,delta_makespan_months,delta_makespan_calendar_year,delta_total_commissioned_MW,delta_cum_MW_by_2035,delta_cum_MW_by_2040,delta_cum_MW_by_2050,delta_delay_mean_years,delta_delay_p90_years,delta_attrited_projects,delta_attrited_transmission_projects,delta_attrition_project_rate
42,Base-level Sequencing,PERFECT_COORDINATION,18.0,1.5,1.4551915228366852e-11,-10667.044519999996,-21408.25426,-17252.628829999987,2.068928950159067,10.0,0.0,0.0,0.0
42,Base-level Sequencing,S1_REAL_WORLD_2026_FRAGMENTED,-8.0,-0.6666666666665151,34462.1821137075,-10929.297957480678,-9913.116782267287,7751.23986793802,1.3110081541140588,7.4166666666667425,-194.0,-6.0,-0.20229405630865485
42,Base-level Sequencing,S2_IRA_INCENTIVE_RUSH,-1.0,-0.08333333333348492,41474.098247551825,-7991.746622984931,-7604.480652322112,13963.430410746994,1.7376674573356032,8.666666666666742,-235.0,-8.0,-0.24504692387904067
42,Base-level Sequencing,S3_CHINA_COORDINATED,10.0,0.8333333333334849,15658.499517950404,-10354.109930666666,-13741.054984685848,-7414.361112049592,1.4883741577871477,5.25,-70.0,-5.0,-0.07135575942915393
42,PERFECT_COORDINATION,Base-level Sequencing,-18.0,-1.5,-1.4551915228366852e-11,10667.044519999996,21408.25426,17252.628829999987,-2.068928950159067,-10.0,0.0,0.0,0.0
42,PERFECT_COORDINATION,S1_REAL_WORLD_2026_FRAGMENTED,-26.0,-2.166666666666515,34462.18211370749,-262.2534374806819,11495.137477732715,25003.868697938007,-0.7579207960450083,-2.5833333333332575,-194.0,-6.0,-0.20229405630865485
42,PERFECT_COORDINATION,S2_IRA_INCENTIVE_RUSH,-19.0,-1.583333333333485,41474.09824755181,2675.2978970150652,13803.77360767789,31216.05924074698,-0.3312614928234639,-1.3333333333332575,-235.0,-8.0,-0.24504692387904067
42,PERFECT_COORDINATION,S3_CHINA_COORDINATED,-8.0,-0.6666666666665151,15658.49951795039,312.9345893333302,7667.199275314153,9838.267717950395,-0.5805547923719194,-4.75,-70.0,-5.0,-0.07135575942915393
42,S1_REAL_WORLD_2026_FRAGMENTED,Base-level Sequencing,8.0,0.6666666666665151,-34462.1821137075,10929.297957480678,9913.116782267287,-7751.23986793802,-1.3110081541140588,-7.4166666666667425,194.0,6.0,0.20229405630865485
42,S1_REAL_WORLD_2026_FRAGMENTED,PERFECT_COORDINATION,26.0,2.166666666666515,-34462.18211370749,262.2534374806819,-11495.137477732715,-25003.868697938007,0.7579207960450083,2.5833333333332575,194.0,6.0,0.20229405630865485
42,S1_REAL_WORLD_2026_FRAGMENTED,S2_IRA_INCENTIVE_RUSH,7.0,0.5833333333330302,7011.916133844323,2937.551334495747,2308.6361299451746,6212.190542808974,0.42665930322154433,1.25,-41.0,-2.0,-0.04275286757038582
42,S1_REAL_WORLD_2026_FRAGMENTED,S3_CHINA_COORDINATED,18.0,1.5,-18803.682595757098,575.1880268140121,-3827.9382024185616,-15165.600979987612,0.17736600367308875,-2.1666666666667425,124.0,1.0,0.13093829687950093
42,S2_IRA_INCENTIVE_RUSH,Base-level Sequencing,1.0,0.08333333333348492,-41474.098247551825,7991.746622984931,7604.480652322112,-13963.430410746994,-1.7376674573356032,-8.666666666666742,235.0,8.0,0.24504692387904067
42,S2_IRA_INCENTIVE_RUSH,PERFECT_COORDINATION,19.0,1.583333333333485,-41474.09824755181,-2675.2978970150652,-13803.77360767789,-31216.05924074698,0.3312614928234639,1.3333333333332575,235.0,8.0,0.24504692387904067
42,S2_IRA_INCENTIVE_RUSH,S1_REAL_WORLD_2026_FRAGMENTED,-7.0,-0.5833333333330302,-7011.916133844323,-2937.551334495747,-2308.6361299451746,-6212.190542808974,-0.42665930322154433,-1.25,41.0,2.0,0.04275286757038582
42,S2_IRA_INCENTIVE_RUSH,S3_CHINA_COORDINATED,11.0,0.9166666666669698,-25815.59872960142,-2362.363307681735,-6136.574332363736,-21377.791522796586,-0.24929329954845558,-3.4166666666667425,165.0,3.0,0.17369116444988675
42,S3_CHINA_COORDINATED,Base-level Sequencing,-10.0,-0.8333333333334849,-15658.499517950404,10354.109930666666,13741.054984685848,7414.361112049592,-1.4883741577871477,-5.25,70.0,5.0,0.07135575942915393
42,S3_CHINA_COORDINATED,PERFECT_COORDINATION,8.0,0.6666666666665151,-15658.49951795039,-312.9345893333302,-7667.199275314153,-9838.267717950395,0.5805547923719194,4.75,70.0,5.0,0.07135575942915393
42,S3_CHINA_COORDINATED,S1_REAL_WORLD_2026_FRAGMENTED,-18.0,-1.5,18803.682595757098,-575.1880268140121,3827.9382024185616,15165.600979987612,-0.17736600367308875,2.1666666666667425,-124.0,-1.0,-0.13093829687950093
42,S3_CHINA_COORDINATED,S2_IRA_INCENTIVE_RUSH,-11.0,-0.9166666666669698,25815.59872960142,2362.363307681735,6136.574332363736,21377.791522796586,0.24929329954845558,3.4166666666667425,-165.0,-3.0,-0.17369116444988675
