scenario,param,value,notes
Base-level Sequencing,dag_mode,interdependent,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,dag_mode,sequencing,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,dag_mode,interdependent,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,dag_mode,interdependent,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,dag_mode,interdependent,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,distributions_config,,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,distributions_config,,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S3_CHINA_COORDINATED,distributions_config,,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Approvals_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Approvals_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Approvals_months.max,10,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Approvals_months.max,10,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Approvals_months.mean,6,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Approvals_months.mean,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Approvals_months.min,2,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Approvals_months.min,2,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Approvals_months.std,2,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Approvals_months.std,2,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
