YEAR,annual_additions_MW,cum_MW,scenario,seed
2031,4779.6926,4779.6926,Base-level Sequencing,42
2032,462.32822000000004,5242.020820000001,Base-level Sequencing,42
2034,8655.40996,13897.430780000002,Base-level Sequencing,42
2039,11870.945849999998,25768.37663,Base-level Sequencing,42
2041,1400.0,27168.37663,Base-level Sequencing,42
2042,2318.90693,29487.28356,Base-level Sequencing,42
2044,11714.44378,41201.72734,Base-level Sequencing,42
2046,7800.0,49001.72734,Base-level Sequencing,42
2049,21366.765760000002,70368.49309999999,Base-level Sequencing,42
2051,6523.620150000001,76892.11325,Base-level Sequencing,42
2054,13876.40062,90768.51387,Base-level Sequencing,42
2056,600.0,91368.51387,Base-level Sequencing,42
2059,23156.31584,114524.82970999999,Base-level Sequencing,42
2061,2336.8901799999994,116861.71989,Base-level Sequencing,42
2031,4779.6926,4779.6926,PERFECT_COORDINATION,42
2032,3712.6471600000004,8492.33976,PERFECT_COORDINATION,42
2034,16072.13554,24564.4753,PERFECT_COORDINATION,42
2039,22612.15559,47176.63089,PERFECT_COORDINATION,42
2042,2318.90693,49495.53782,PERFECT_COORDINATION,42
2044,15747.51865,65243.056469999996,PERFECT_COORDINATION,42
2049,22378.06546,87621.12193,PERFECT_COORDINATION,42
2054,12102.97869,99724.10062,PERFECT_COORDINATION,42
2059,17137.61927,116861.71989,PERFECT_COORDINATION,42
2030,10464.000000000002,10464.000000000002,S1_REAL_WORLD_2026_FRAGMENTED,42
2031,5001.941020049393,15465.941020049395,S1_REAL_WORLD_2026_FRAGMENTED,42
2032,1558.2193978439814,17024.160417893378,S1_REAL_WORLD_2026_FRAGMENTED,42
2033,1740.0,18764.160417893378,S1_REAL_WORLD_2026_FRAGMENTED,42
2034,2152.5936733601984,20916.754091253577,S1_REAL_WORLD_2026_FRAGMENTED,42
2035,3909.9746462271037,24826.72873748068,S1_REAL_WORLD_2026_FRAGMENTED,42
2036,400.0,25226.72873748068,S1_REAL_WORLD_2026_FRAGMENTED,42
2038,1000.0,26226.72873748068,S1_REAL_WORLD_2026_FRAGMENTED,42
2039,2882.6870578610988,29109.415795341778,S1_REAL_WORLD_2026_FRAGMENTED,42
2040,6572.07761692551,35681.493412267286,S1_REAL_WORLD_2026_FRAGMENTED,42
2041,2102.281525624035,37783.77493789132,S1_REAL_WORLD_2026_FRAGMENTED,42
2042,400.0,38183.77493789132,S1_REAL_WORLD_2026_FRAGMENTED,42
2043,750.0,38933.77493789132,S1_REAL_WORLD_2026_FRAGMENTED,42
2044,1923.0611495773937,40856.83608746871,S1_REAL_WORLD_2026_FRAGMENTED,42
2045,4853.811450721514,45710.64753819023,S1_REAL_WORLD_2026_FRAGMENTED,42
2046,2328.1192552434004,48038.76679343363,S1_REAL_WORLD_2026_FRAGMENTED,42
2047,600.0,48638.76679343363,S1_REAL_WORLD_2026_FRAGMENTED,42
2049,2832.08472489378,51470.85151832741,S1_REAL_WORLD_2026_FRAGMENTED,42
2050,11146.401713734573,62617.25323206198,S1_REAL_WORLD_2026_FRAGMENTED,42
2051,899.7255910353543,63516.978823097335,S1_REAL_WORLD_2026_FRAGMENTED,42
2054,1900.0,65416.978823097335,S1_REAL_WORLD_2026_FRAGMENTED,42
2055,5312.272447799983,70729.25127089732,S1_REAL_WORLD_2026_FRAGMENTED,42
2056,400.0,71129.25127089732,S1_REAL_WORLD_2026_FRAGMENTED,42
2059,2400.0,73529.25127089732,S1_REAL_WORLD_2026_FRAGMENTED,42
2060,8670.286505395181,82199.5377762925,S1_REAL_WORLD_2026_FRAGMENTED,42
2061,200.0,82399.5377762925,S1_REAL_WORLD_2026_FRAGMENTED,42
2030,10164.000000000002,10164.000000000002,S2_IRA_INCENTIVE_RUSH,42
2031,3853.990305375391,14017.990305375393,S2_IRA_INCENTIVE_RUSH,42
2032,891.9521113555704,14909.942416730964,S2_IRA_INCENTIVE_RUSH,42
2033,1141.4398974716814,16051.382314202645,S2_IRA_INCENTIVE_RUSH,42
2034,4037.795088782287,20089.177402984933,S2_IRA_INCENTIVE_RUSH,42
2035,1800.0,21889.177402984933,S2_IRA_INCENTIVE_RUSH,42
2038,1200.0,23089.177402984933,S2_IRA_INCENTIVE_RUSH,42
2039,6681.398353713142,29770.575756698076,S2_IRA_INCENTIVE_RUSH,42
2040,3602.281525624035,33372.85728232211,S2_IRA_INCENTIVE_RUSH,42
2041,950.0,34322.85728232211,S2_IRA_INCENTIVE_RUSH,42
2042,250.0,34572.85728232211,S2_IRA_INCENTIVE_RUSH,42
2043,525.428719334052,35098.28600165616,S2_IRA_INCENTIVE_RUSH,42
2044,3472.549734628281,38570.83573628444,S2_IRA_INCENTIVE_RUSH,42
2045,2606.0149233048733,41176.85065958931,S2_IRA_INCENTIVE_RUSH,42
2046,450.0,41626.85065958931,S2_IRA_INCENTIVE_RUSH,42
2048,600.0,42226.85065958931,S2_IRA_INCENTIVE_RUSH,42
2049,8439.544624733711,50666.39528432302,S2_IRA_INCENTIVE_RUSH,42
2050,5738.6674049299945,56405.06268925301,S2_IRA_INCENTIVE_RUSH,42
2053,300.0,56705.06268925301,S2_IRA_INCENTIVE_RUSH,42
2054,5747.191353596152,62452.25404284916,S2_IRA_INCENTIVE_RUSH,42
2055,1565.0810942038306,64017.33513705299,S2_IRA_INCENTIVE_RUSH,42
2058,200.0,64217.33513705299,S2_IRA_INCENTIVE_RUSH,42
2059,7579.742616536035,71797.07775358902,S2_IRA_INCENTIVE_RUSH,42
2060,3590.543888859146,75387.62164244817,S2_IRA_INCENTIVE_RUSH,42
2030,3510.345570666667,3510.345570666667,S3_CHINA_COORDINATED,42
2031,4279.6926,7790.038170666667,S3_CHINA_COORDINATED,42
